trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5, 'e': 0.996034999778425}",25,0,-101.67032473945243,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9959412203988836}",20,0,-56.25517913248407,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9958463471732161}",25,0,-88.32293902110558,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9957503802056222}",20,0,-186.80378970459248,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.9956533196015029}",20,0,-84.64356877410835,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9955551654674601}",25,0,-105.18252614473295,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9954559179112971}",25,0,-85.4043400663541,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9953555770420175}",25,0,-157.92820800410198,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9952541429698263}",35,0,-193.17177237071587,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.995151615806129}",25,4,-99.71715056239726,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.9950479956635313}",20,0,-31.35950837967383,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.99494328265584}",30,0,-124.10657598275009,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9948374768980615}",20,0,-110.17658785517915,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9947305785064028}",25,0,-66.23114109938108,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9946225875982707}",20,0,-92.4368591577857,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9945135042922723}",25,0,-63.35064751687585,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9944033287082139}",20,3,-118.93114400054604,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.9942920609671021}",30,0,-156.19172111195223,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.9941797011911424}",20,0,-116.97655197637808,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9940662495037401}",20,0,-168.54264968870586,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9939517060294997}",30,0,-249.630115426693,"{0: 16, 1: 2, 2: 5, 3: 4, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.9938360708942245}",20,0,-63.37192516430012,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9937193442249174}",20,0,-91.34047013797455,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9936015261497795}",25,0,-89.55185535885434,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9934826167982108}",30,0,-102.04512744258601,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9933626163008101}",30,0,-99.34955727697495,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
